journal,volume,journal_code,year,ISSN,editors,areas
Theor. Comput. Sci.,412,Th412,2011,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,413,Th413,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,414,Th414,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,415,Th415,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,416,Th416,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,417,Th417,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,418,Th418,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,419,Th419,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,420,Th420,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,421,Th421,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,422,Th422,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,424,Th424,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,425,Th425,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,426,Th426,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,429,Th429,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,430,Th430,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,431,Th431,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,432,Th432,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,433,Th433,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,434,Th434,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,435,Th435,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,436,Th436,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,438,Th438,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,439,Th439,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,440-441,Th440-441,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,442,Th442,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,443,Th443,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,444,Th444,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,445,Th445,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,446,Th446,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,447,Th447,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,448,Th448,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,449,Th449,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,450,Th450,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,451,Th451,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,452,Th452,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,453,Th453,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,454,Th454,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,455,Th455,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,456,Th456,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,457,Th457,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,458,Th458,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,460,Th460,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,461,Th461,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,462,Th462,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,463,Th463,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,464,Th464,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,465,Th465,2012,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,467,Th467,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,468,Th468,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,469,Th469,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,470,Th470,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,471,Th471,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,472,Th472,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,473,Th473,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,474,Th474,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,475,Th475,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,476,Th476,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,477,Th477,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,478,Th478,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,479,Th479,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,480,Th480,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,481,Th481,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,482,Th482,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,483,Th483,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,484,Th484,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,486,Th486,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,487,Th487,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,488,Th488,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,489-490,Th489-490,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,491,Th491,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,492,Th492,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,493,Th493,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,494,Th494,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,495,Th495,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,496,Th496,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,497,Th497,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,498,Th498,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,499,Th499,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,500,Th500,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,501,Th501,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,502,Th502,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,503,Th503,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,504,Th504,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,505,Th505,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,506,Th506,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,507,Th507,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,508,Th508,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,509,Th509,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,511,Th511,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,512,Th512,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,513,Th513,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,514,Th514,2013,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,516,Th516,2014,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,517,Th517,2014,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,518,Th518,2014,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,519,Th519,2014,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,520,Th520,2014,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,521,Th521,2014,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,522,Th522,2014,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,523,Th523,2014,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,524,Th524,2014,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,525,Th525,2014,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,526,Th526,2014,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,527,Th527,2014,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,528,Th528,2014,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,529,Th529,2014,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,530,Th530,2014,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,531,Th531,2014,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,532,Th532,2014,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,533,Th533,2014,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,534,Th534,2014,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,535,Th535,2014,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,536,Th536,2014,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,538,Th538,2014,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,539,Th539,2014,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,540,Th540,2014,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,542,Th542,2014,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,543,Th543,2014,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,545,Th545,2014,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,546,Th546,2014,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,547,Th547,2014,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,548,Th548,2014,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Theor. Comput. Sci.,549,Th549,2014,ISSN 1234-5678,Barbara Kessler,"Applied computer science|Programming language theory and formal methods|Programming language theory and formal methods|Computer security and cryptography|Concurrent, parallel and distributed computing|Computer graphics and visualization"
